name;department;line_id;station_id;type;name_station;num_docks_available;cargo_docks;is_installed;date_installed;repair_station;inflator_station;video_monitoring;lockers;vae_refills;automatic_sensors_counting;automatic_video_counting;price;price_navigo;url_subscription;url_find_out_more;project_owner;id_contrat;zdcname;zdcld;municipality;insee_code;intercommunality;x_long;y_lat;Geo Point;Geo Shape;code_sav
Palaiseau - Villebon;91.0;RER B;726;abri;;48;;true;2024;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Palaiseau - Villebon;63067;Palaiseau;91477;CA Paris Saclay;2.237401;48.7086918;48.7086918, 2.237401;"{""coordinates"": [2.237401, 48.7086918], ""type"": ""Point""}";#N/A
Palaiseau - Villebon;91.0;RER B;720;abri;;32;;true;2024;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Palaiseau - Villebon;63067;Palaiseau;91477;CA Paris Saclay;2.237281;48.707564;48.707564, 2.237281;"{""coordinates"": [2.237281, 48.707564], ""type"": ""Point""}";#N/A
Parc Du Château;91.0;TRAM 12;609;consigne;Parc Du Château - Tram12;40;;true;2025;True;True;True;False;True;True;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/609;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;IDFM;25.0;Parc du Château;60892;Morsang-sur-Orge;91434;CA Cœur d'Essonne Agglomération;2.35445802182263;48.6677727126403;48.6677727126403, 2.35445802182263;"{""coordinates"": [2.35445802182, 48.6677727126], ""type"": ""Point""}";518
Paris Austerlitz;75.0;RER C,METRO 5,METRO 10;1045;abri;;82;;true;2024;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Gare d'Austerlitz;71135;Paris 13e Arrondissement;75113;Ville de Paris;2.366526;48.842702;48.842702, 2.366526;"{""coordinates"": [2.366526, 48.842702], ""type"": ""Point""}";#N/A
Paris Austerlitz;75.0;RER C,METRO 5,METRO 10;1046;abri;;43;;true;2024;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Gare d'Austerlitz;71135;Paris 13e Arrondissement;75113;Ville de Paris;2.366692;48.842509;48.842509, 2.366692;"{""coordinates"": [2.366692, 48.842509], ""type"": ""Point""}";#N/A
Paris Gare De L'est;75.0;METRO 4,METRO 5,METRO 7,TRAIN P;731;abri;;52;;true;2024;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Gare de l'Est;71359;Paris 10e Arrondissement;75110;Ville de Paris;2.36005;48.876234;48.876234, 2.36005;"{""coordinates"": [2.36005, 48.876234], ""type"": ""Point""}";#N/A
Paris Gare Du Nord;75.0;METRO 4,METRO 5,RER B,RER D,RER E,TRAIN H,TRAIN K;868;consigne;Paris Gare Du Nord - Centre;1186;10;true;2024;True;True;True;False;False;False;True;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/868;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Gare du Nord;71410;Paris 18e Arrondissement;75118;Ville de Paris;2.35705;48.881195;48.881195, 2.35705;"{""coordinates"": [2.35705, 48.881195], ""type"": ""Point""}";512
Pont De Levallois - Becon;92.0;METRO 3;652;consigne;Pont De Levallois - Becon;28;;true;2024;False;False;False;False;False;False;False;30 €;0 €;https://ratp.parkings-velos.iledefrance-mobilites.fr/;;RATP;65.0;Pont de Levallois - Bécon;72057;Levallois-Perret;92044;EPT Paris Ouest La Défense;2.2812578;48.8960743;48.8960743, 2.2812578;"{""coordinates"": [2.2812578, 48.8960743], ""type"": ""Point""}";526
Place De La Carpe;91.0;TZEN 4;1518;abri;;12;;true;2025;False;False;False;False;False;False;False;;NC;NC;;IDFM;23.0;NC;0;;#N/A;CA Grand Paris Sud Seine Essonne Sénart;2.372759;48.654445;48.654445, 2.372759;"{""coordinates"": [2.372759, 48.654445], ""type"": ""Point""}";#N/A
Plaisir-les Clayes;78.0;TRAIN N;1308;abri;;56;;true;2025;False;False;False;False;False;False;False;;NC;https://idf-mobilites.fr/sqy-parking-velos;;IDFM;29.0;Plaisir - Les Clayes;64195;Plaisir;78490;CA Saint-Quentin-en-Yvelines;1.95980431278708;48.8305853263014;48.8305853263014, 1.95980431278708;"{""coordinates"": [1.95980431279, 48.8305853263], ""type"": ""Point""}";#N/A
Sartrouville;78.0;RER A,TRAIN L;44;consigne;Sartrouville;88;;true;2012;False;False;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/44;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Sartrouville;64918;Sartrouville;78586;CA Saint-Germain Boucles de Seine;2.1579936353796;48.937655283564;48.937655283564, 2.1579936353796;"{""coordinates"": [2.15799363538, 48.9376552836], ""type"": ""Point""}";548
Suresnes Mont Valerien;92.0;TRAIN L,TRAIN U;258;consigne;Suresnes Mont Valerien;20;;true;2021;False;False;False;False;False;False;False;20 €;20 €;https://portail.cykleo.fr/veligo_suresnes/presentation;;Ville de Suresnes;69.0;Suresnes Mont Valérien;70829;Suresnes;92073;EPT Paris Ouest La Défense;2.22111695483;48.8714770359;48.8714770359, 2.22111695483;"{""coordinates"": [2.22111695483, 48.8714770359], ""type"": ""Point""}";510
Ponthierry-pringy;77.0;RER D;769;consigne;Ponthierry-pringy;20;;true;2024;True;True;True;False;True;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/769;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;IDFM;18.0;Ponthierry - Pringy;61976;Saint-Fargeau-Ponthierry;77407;CA Melun Val de Seine;2.545206;48.53474;48.53474, 2.545206;"{""coordinates"": [2.545206, 48.53474], ""type"": ""Point""}";516
Vaucresson;92.0;TRAIN L;1187;abri;;12;;true;2025;False;False;True;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Vaucresson;70705;Vaucresson;92076;EPT Paris Ouest La Défense;2.15212144809755;48.8370588820414;48.8370588820414, 2.15212144809755;"{""coordinates"": [2.1521214481, 48.837058882], ""type"": ""Point""}";#N/A
Provins;77.0;TRAIN P;1071;abri;;12;;true;2023;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Provins;62139;Provins;77379;CC du Provinois;3.303298;48.555563;48.555563, 3.303298;"{""coordinates"": [3.303298, 48.555563], ""type"": ""Point""}";#N/A
Provins;77.0;TRAIN P;1073;consigne;Provins;10;;true;2023;False;True;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/1073;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Provins;62139;Provins;77379;CC du Provinois;3.3033099390933;48.555765815871;48.555765815871, 3.3033099390933;"{""coordinates"": [3.30330993909, 48.5557658159], ""type"": ""Point""}";548
Republique - Marx Dormoy;93.0;TRAM 4;1014;abri;;12;;true - non labellisé;2021;False;False;False;False;False;False;False;;NC;NC;;IDFM;;République - Marx Dormoy;73354;Livry-Gargan;93046;EPT Grand Paris Grand Est;2.523229;48.905851;48.905851, 2.523229;"{""coordinates"": [2.523229, 48.905851], ""type"": ""Point""}";#N/A
Roissy-en-brie;77.0;RER E;170;consigne;Roissy-en-brie;40;;true;2018;True;True;False;False;False;False;False;30 €;0 €;https://portail.cykleo.fr/park_paris_vallee_marne;;CA - Paris Vallée de la Marne;56.0;Roissy-en-Brie;67839;Roissy-en-Brie;77390;CA Paris - Vallée de la Marne;2.65027850308;48.7952983596999;48.7952983596999, 2.65027850308;"{""coordinates"": [2.65027850308, 48.7952983597], ""type"": ""Point""}";510
Romain Rolland;93.0;TRAM 4;1005;abri;;24;;true - non labellisé;2021;False;False;False;False;False;False;False;;NC;NC;;IDFM;;Romain Rolland;73350;Clichy-sous-Bois;93014;EPT Grand Paris Grand Est;2.54749;48.904991;48.904991, 2.54749;"{""coordinates"": [2.54749, 48.904991], ""type"": ""Point""}";#N/A
Rosny-sous-bois;93.0;RER E;1134;abri;;22;;true;2025;True;True;True;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Rosny-sous-Bois;71935;Rosny-sous-Bois;93064;EPT Grand Paris Grand Est;2.485801;48.868538;48.868538, 2.485801;"{""coordinates"": [2.485801, 48.868538], ""type"": ""Point""}";#N/A
Rosny-sous-bois;93.0;RER E;1133;abri;;20;;true;2024;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Rosny-sous-Bois;71935;Rosny-sous-Bois;93064;EPT Grand Paris Grand Est;2.485162;48.870427;48.870427, 2.485162;"{""coordinates"": [2.485162, 48.870427], ""type"": ""Point""}";#N/A
Rouget De Lisle;94.0;TVM,393;134;abri;;12;;true;2017;False;False;False;False;False;False;False;;NC;NC;;Département - Val-de-Marne;;Rouget de Lisle;69846;Choisy-le-Roi;94022;EPT Grand Orly Seine Bièvre;2.40504495517;48.7643021519999;48.7643021519999, 2.40504495517;"{""coordinates"": [2.40504495517, 48.764302152], ""type"": ""Point""}";#N/A
Pontoise;95.0;RER C,TRAIN H,TRAIN J;200;consigne;Pontoise - Campus Pissarro;40;;true;2025;False;False;False;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/200;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Pontoise;66816;Pontoise;95500;CA de Cergy-Pontoise;2.0942280110105;49.047440560598;49.047440560598, 2.0942280110105;"{""coordinates"": [2.09422801101, 49.0474405606], ""type"": ""Point""}";548
Saint-denis Pleyel;93.0;METRO 14,METRO 16,METRO 17;714;abri;;180;;true - non labellisé;2024;False;False;False;False;False;False;False;;NC;NC;;SGP;;Saint-Denis - Pleyel;490784;Saint-Denis;93066;EPT Plaine Commune;2.345834;48.91781;48.91781, 2.345834;"{""coordinates"": [2.345834, 48.91781], ""type"": ""Point""}";#N/A
Presles-courcelles;95.0;TRAIN H;1264;abri;;10;;true;2025;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Presles - Courcelles;67169;Presles;95504;CC de la Vallée de l'Oise et des Trois Forêts;2.288121;49.113617;49.113617, 2.288121;"{""coordinates"": [2.288121, 49.113617], ""type"": ""Point""}";#N/A
Fourqueux - Bel Air;78.0;TRAM 13;1037;abri;;36;;true - non labellisé non financé;2015;False;False;False;False;False;False;False;;NC;NC;;Ville de Saint-Germain-en-Laye;;Fourqueux - Bel Air;64566;Saint-Germain-en-Laye;78551;CA Saint-Germain Boucles de Seine;2.070365;48.895094;48.895094, 2.070365;"{""coordinates"": [2.070365, 48.895094], ""type"": ""Point""}";#N/A
Saint-quentin-en-yvelines;78.0;RER C,TRAIN N,TRAIN U;1298;abri;;14;;true;2017;False;False;False;False;False;False;False;;NC;https://idf-mobilites.fr/sqy-parking-velos;;IDFM;29.0;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;63812;Montigny-le-Bretonneux;78423;CA Saint-Quentin-en-Yvelines;2.045353;48.786005;48.786005, 2.045353;"{""coordinates"": [2.045353, 48.786005], ""type"": ""Point""}";#N/A
