Nom du site;Code_insee;Departement;Adresse;Code_postal;Commune;Capacité maximum;Compétence location;Compétence information;Retrait pour vélo à assistance électrique;Retrait pour vélo à assistance électrique rallongé;Retrait pour biporteur à assistance électrique;Retrait pour triporteur à assistance électrique;Restitution pour vélo à assistance électrique;Restitution pour vélo à assistance électrique rallongé;Restitution pour biporteur à assistance électrique;Restitution pour triporteur à assistance électrique;Type de site;Nombre  remise;Nombre reprise;x_long;y_lat;Geo Point
La Poste - Site de Boissy St Leger;94004;94;Place du Forum;94470;BOISSY ST LEGER;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;116;6;2.5024;48.7541;48.7541, 2.5024
Bureau de Poste - La Ville du Bois;91665;91;7 RUE DU GRAND NOYER;91620;LA VILLE DU BOIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;21;0;2.268382;48.660906;48.660906, 2.268382
Bureau de Poste - Moissy-Cramayel;77253;77;321 AVENUE PHILIPPE BUR;77550;MOISSY CRAMAYEL;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;15;1;2.5887;48.62657;48.62657, 2.5887
Bureau de Poste - Paris Wagram;75117;75;110 AVENUE DE WAGRAM;75017;PARIS 17;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;454;7;2.302232;48.883335;48.883335, 2.302232
Parking Transdev Park -  Courbevoie Jacques Cartier;92026;92;36 avenue Léonard de Vinci;92400;COURBEVOIE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;220;5;2.236849;48.89685;48.89685, 2.236849
Franprix Henri Janin;94078;94;2 rue Henri Janin;94190;Villeneuve Saint Georges;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;30;0;2.449053764;48.7309761;48.7309761, 2.449053764
Bureau de Poste - Gif-sur-Yvette;91538;91;29 RUE HENRI AMODRU;91190;GIF SUR YVETTE;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;101;2;2.132305;48.702087;48.702087, 2.132305
La Poste - Site de Milly la Forêt;91408;91;rue du Chenet;91490;MOIGNY SUR ECOLE;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;10;1;2.417321;48.397857;48.397857, 2.417321
ZERIDE SEBASTOPOL CARGO;75102;75;111 boulevard sebastopol;75002;PARIS 02;3;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;353;0;2.352735956;48.86714609;48.86714609, 2.352735956
La Poste LA VILLETTE;75118;75;18 BOULEVARD DE LA CHAPELLE;75018;PARIS 18;25;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1414;42;2.36258;48.884539;48.884539, 2.36258
La Poste - Site de Persan;95199;95;26 Rue Brossolette;95330;PERSAN;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;4;0;2.33649;49.029548;49.029548, 2.33649
Bureau de Poste - Mennecy;91244;91;63 B BOULEVARD CHARLES DE GAULLE;91540;MENNECY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;31;0;2.430712;48.562871;48.562871, 2.430712
ORSAY;91471;91;24 RUE DE PARIS;91400;ORSAY;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;50;6;2.187731;48.697614;48.697614, 2.187731
Décathlon - Evry;91228;91;2 boulevard de l'Europe Centre commercial de l'agora;91000;EVRY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;143;0;2.4278;48.6279;48.6279, 2.4278
Bureau de Poste - Velizy-Villacoublay Le Mail;78640;78;3 RUE PAULHAN;78140;VELIZY VILLACOUBLAY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;134;7;2.181013;48.785018;48.785018, 2.181013
Franprix Antony - rue Monnet;92002;92;61 Avenue Jean Monnet;92160;ANTONY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;16;0;2.2970513;48.7464483;48.7464483, 2.2970513
Franprix Orsay Someho;91471;91;2 rue du Docteur Ernest Lauriat;91400;ORSAY;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;115;0;2.187988997;48.69682312;48.69682312, 2.187988997
La Poste - Site de Bry sur Marne;94015;94;6 rue du Clos Sainte Catherine;94360;BRY SUR MARNE;9;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;41;3;2.524548;48.829547;48.829547, 2.524548
La Poste - Site de St Denis;93066;93;50 Avenue du Président Wilson;93210;SAINT DENIS;18;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;366;4;2.357899;48.91319;48.91319, 2.357899
Bureau de Poste - Ozoir-la-Ferrière;77350;77;6 AVENUE EDOUARD GOURDON;77330;OZOIR LA FERRIERE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;28;0;2.678368;48.773041;48.773041, 2.678368
Bureau de Poste - Pontault-Combault;77373;77;3 AVENUE CHARLES ROUXEL;77340;PONTAULT COMBAULT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;72;0;2.605219;48.798345;48.798345, 2.605219
Bureau de Poste - Saint-Germain-en-Laye Centre;78551;78;10 B RUE DE POLOGNE;78100;ST GERMAIN EN LAYE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;169;10;2.089737;48.897278;48.897278, 2.089737
La Poste - Site de St Fargeau Ponthierry;77040;77;2 Place du General Leclerc;77310;ST FARGEAU PONTHIERRY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;15;0;2.5451;48.5314;48.5314, 2.5451
La Poste - Site de Noisy le Grand;93051;93;1 rue Leon Bernard;93160;NOISY LE GRAND;13;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;134;1;2.552838;48.849251;48.849251, 2.552838
ECOLOCATION 77;77156;77;5 Rue du Docteur Dumée;77140;DARVAULT;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;11;0;2.695924726;48.26780068;48.26780068, 2.695924726
Parking Transdev Park - Asnières sur Seine;92004;92;Hôtel de Ville 2 place Aristide Briand;92600;ASNIERES SUR SEINE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;450;6;2.28877;48.910846;48.910846, 2.28877
La Poste - Site d'Avon;77442;77;22 avenue Franklin Roosevelt;77210;AVON;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;79;4;2.7169;48.4145;48.4145, 2.7169
Décathlon - Velizy;78640;78;2 Avenue De L'Europe Centre Commercial;78140;VELIZY VILLACOUBLAY;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;147;12;2.21917;48.78429;48.78429, 2.21917
ESAT Léopold Bellan - Paris 13;75113;75;5 rue Jean-Sébastien Bach;75013;PARIS 13;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;567;18;2.365325;48.830694;48.830694, 2.365325
Franprix Disalor;75120;75;54 rue de Belgrand;75020;PARIS 20;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;76;0;2.406471632;48.8691388;48.8691388, 2.406471632
M2IE;77258;77;Parc du Courcerin - ZAC PARIS EST - 73/75 Boulevard Courcerin - BAT B7;77185;LOGNES;20;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;50;0;2.618800402;48.82535553;48.82535553, 2.618800402
Atelier de la Villette;75119;75;62 RUE PETIT;75019;PARIS 19;6;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;315;0;2.386584619;48.88589614;48.88589614, 2.386584619
Bicyclo La Maison du Vélo - Saint Denis;93066;93;120 rue Gabriel Peri;93200;SAINT DENIS;3;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;52;0;2.356656;48.940897;48.940897, 2.356656
Recyclerie Sportive - Gare Massy Palaiseau;91377;91;Gare de Massy Palaiseau, Place Pierre Semard;91300;MASSY;2;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;78;0;2.261952;48.72567;48.72567, 2.261952
La Poste - Site de Rungis;94021;94;22 rue du Séminaire;94550;CHEVILLY LARUE;23;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;198;5;2.362133;48.761856;48.761856, 2.362133
Décathlon - Paris Rive Gauche;75113;75;113 Avenue de France;75013;PARIS 13;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;585;35;2.37662;48.83029;48.83029, 2.37662
Morangis bp;91432;91;PLACE PIERRE BROSSOLETTE;91420;MORANGIS;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;90;2;2.331006;48.704732;48.704732, 2.331006
Mairie - Deuil La Barre;95197;95;Place Nieder Eschbach;95170;DEUIL LA BARRE;3;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;44;0;2.3238872;48.9752104;48.9752104, 2.3238872
La Poste PARIS 14;75114;75;115 BOULEVARD BRUNE;75014;PARIS 14;30;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1549;39;2.316275;48.82546;48.82546, 2.316275
La Poste - Site de Villejuif;94076;94;5 rue marcel paul;94800;VILLEJUIF;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;405;11;2.3569;48.8001;48.8001, 2.3569
La Poste - Site de Draveil;91201;91;1 rue de l'Industrie;91210;DRAVEIL;7;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;95;2;2.411298;48.688348;48.688348, 2.411298
La Poste - Site de Ris Orangis;91521;91;Place du Moulin à vent;91130;RIS ORANGIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;53;3;2.407771;48.649298;48.649298, 2.407771
La Boutique du Vélo;78502;78;16q avenue Simon Vouet;78560;LE PORT MARLY;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;84;0;2.11064;48.87934;48.87934, 2.11064
Parking Transdev Park -  Rambouillet Gare - Séquoia;78164;78;Place Ferdinand Prud'homme;78120;RAMBOUILLET;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;29;3;1.830677;48.64383;48.64383, 1.830677
Franprix Rue de l'Amiral Mouchez;75114;75;94 Rue de l'Amiral Mouchez;75014;PARIS 14;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;308;0;2.343700956;48.82041654;48.82041654, 2.343700956
MONTLHERY;91339;91;3 RUE ERNEST CHESNEAU;91310;MONTLHERY;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;28;0;2.271493;48.640213;48.640213, 2.271493
La Poste - Site d'Yerres;91691;91;6 rue Rossini;91330;YERRES;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;162;3;2.481393;48.703628;48.703628, 2.481393
La Poste - Site de traitement courrier de Montreuil sous Bois;93048;93;6 rue Ariste Hemard;93100;MONTREUIL SOUS BOIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;473;6;2.4274;48.8597;48.8597, 2.4274
Vélostation SQY;78423;78;1ter place Charles de Gaulle;78180;MONTIGNY LE BRETONNEUX;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;216;21;2.045062;48.786426;48.786426, 2.045062
Décathlon - Villebon sur Yvette;91661;91;Centre Commercial Villebon, 2 Avenue de la Plesse;91140;VILLEBON SUR YVETTE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;64;8;2.25357;48.70279;48.70279, 2.25357
Décathlon - Claye Souilly;77118;77;Autoroute A104, A1, Et, N3, Rue Victor Drouet;77410;CLAYE SOUILLY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;39;3;2.67273;48.94948;48.94948, 2.67273
La Poste - Site du Chesnay;78158;78;17 Rue Pottier;78150;LE CHESNAY ROCQUENCOURT;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;339;4;2.125574;48.827264;48.827264, 2.125574
La Poste - Site de Clombes;92025;92;10 Rue du 8 Mai 1945;92700;COLOMBES;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;203;11;2.25882;48.922025;48.922025, 2.25882
Bureau de Poste - Le Perreux-sur-Marne;94058;94;101 AVENUE GEORGES CLEMENCEAU;94170;LE PERREUX SUR MARNE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;205;10;2.503693;48.842473;48.842473, 2.503693
VELO VELO;75112;75;41 rue de Lyon;75012;PARIS 12;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;228;0;2.370736232;48.8488176;48.8488176, 2.370736232
FRANPRIX PLACE D'ALIGRE PARIS 12;75112;75;13 PLACE D'ALIGRE;75012;PARIS 12;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;317;0;2.378697925;48.84921084;48.84921084, 2.378697925
La Poste - Site de Sartrouville;78586;78;Place Alexandre Dumas;78500;SARTROUVILLE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;100;3;2.190487;48.943763;48.943763, 2.190487
La Poste - Site d'Aubergenville;78451;78;ZAC des Chevries Rue des Chevries;78410;AUBERGENVILLE;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;30;2;1.855214;48.969306;48.969306, 1.855214
Bureau de Poste - Dourdan;91200;91;7 RUE DU FAUBOURG DE CHARTRES;91410;DOURDAN;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;25;2;2.009588;48.531764;48.531764, 2.009588
Décathlon - L Isle Adam;95313;95;Zac Du Pont Des Rayons;95290;L'ISLE ADAM;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;39;4;2.24942;49.12566;49.12566, 2.24942
FRANPRIX BOULEVARD DE BRANDEBOURG;94041;94;15-25 boulevard de Brandebourg;94200;IVRY SUR SEINE;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;161;0;2.400098815;48.81496279;48.81496279, 2.400098815
La Poste BOURSEUL;75115;75;6 rue françois bonvin;75015;PARIS 15;25;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1320;29;2.305012;48.845768;48.845768, 2.305012
Franprix Camillle Dugast;92004;92;5/7 Mail Camille Dugast;92600;ASNIERES SUR SEINE;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;63;0;2.317149639;48.91748047;48.91748047, 2.317149639
Bureau de Poste - Paris Archives;75103;75;67 RUE DES ARCHIVES;75003;PARIS 03;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;496;18;2.359659;48.862567;48.862567, 2.359659
La Poste SAINT-LAZARE;75108;75;1 RUE DE BERNE;75008;PARIS 08;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1325;28;2.323853;48.880128;48.880128, 2.323853
La Poste - Site de Nangis;77098;77;11 rue des Aubepines;77370;NANGIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;10;1;3.025554;48.555623;48.555623, 3.025554
La Poste - Site de Montigny;78423;78;3 Avenue des Ormeaux;78180;MONTIGNY LE BRETONNEUX;30;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;67;2;2.03405;48.7664;48.7664, 2.03405
Bureau de Poste - Noisy-le-Sec Principal;93053;93;6 B AVENUE GEORGES CLEMENCEAU;93130;NOISY LE SEC;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;247;1;2.457317;48.894725;48.894725, 2.457317
Bureau de Poste - Chatou;78146;78;1 RUE DES DIX SEPT;78400;CHATOU;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;245;3;2.157791;48.890538;48.890538, 2.157791
Bureau de Poste - Gonesse Principal;95277;95;PLACE JEAN JAURES;95500;GONESSE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;46;0;2.439462;48.985112;48.985112, 2.439462
LES MUREAUX;78140;78;42 RUE PAUL DOUMER;78130;LES MUREAUX;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;47;4;1.910245;48.994253;48.994253, 1.910245
Franprix COLDIS;91477;91;17 avenue de la Vauve;91120;PALAISEAU;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;68;0;2.194125414;48.71284103;48.71284103, 2.194125414
Bureau de Poste - Antony Leclerc;92002;92;179 AV DE LA DIVISION LECLERC;92160;ANTONY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;136;0;2.302498;48.739975;48.739975, 2.302498
BRUNOY;91097;91;2 RUE DE LA POSTE;91800;BRUNOY;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;23;2;2.503622;48.696614;48.696614, 2.503622
La Poste - Site de Taverny;95607;95;139 Rue d'Herblay;95150;TAVERNY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;68;4;2.210915;49.017527;49.017527, 2.210915
La Poste - Site de Mantes la Jolie;78082;78;ZAC Sully 7 Rue Costes et Bellonte;78200;MANTES LA JOLIE;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;73;1;1.674941;49.000336;49.000336, 1.674941
La Poste - Site de Chatillon;92020;92;12 boulevard de Vanves;92320;CHATILLON;15;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;909;49;2.287985;48.804714;48.804714, 2.287985
YERRES;91691;91;40 RUE CHARLES DE GAULLE;91330;YERRES;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;162;3;2.490451;48.716308;48.716308, 2.490451
La Poste - Site d'Orly;94054;94;16 rue du Commerce;94310;ORLY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;122;3;2.399742;48.74323;48.74323, 2.399742
Décathlon - Plaisir;78490;78;70 Rue Henri Barbusse;78370;PLAISIR;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;132;24;1.96652;48.82915;48.82915, 1.96652
MAGNY LES HAMEAUX;78356;78;4 PLACE PIERRE BEREGOVOY;78114;MAGNY LES HAMEAUX;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;12;4;2.083743;48.724204;48.724204, 2.083743
Franprix FRATEM;92025;92;17 Boulevard de Finlande;92700;Colombes;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;88;0;2.258094788;48.93141174;48.93141174, 2.258094788
Bureau de Poste - Paris Picpus;75112;75;65 RUE DU RENDEZ VOUS;75012;PARIS 12;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;364;8;2.40119;48.846494;48.846494, 2.40119
La Poste - Site de Boulogne Billancourt;92012;92;231 Allée du Forum;92100;BOULOGNE BILLANCOURT;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;441;23;2.23236;48.829052;48.829052, 2.23236
Bureau de Poste - Lagny-sur-Marne;77243;77;106 RUE SAINT DENIS;77400;LAGNY SUR MARNE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;115;3;2.707906;48.878985;48.878985, 2.707906
Bureau de Poste - Aubergenville;78451;78;3 AVENUE DE LA DIVISION LECLERC;78410;AUBERGENVILLE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;36;0;1.855389;48.95868;48.95868, 1.855389
Bureau de Poste - Meaux Principal;77276;77;5 QUAI JACQUES PREVERT;77100;MEAUX;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;75;2;2.882271;48.957196;48.957196, 2.882271
LOCAL GARE AULNAY-SOUS-BOIS;93005;93;3 rue du 11 novembre, au parking à vélo;93600;AULNAY-SOUS-BOIS;3;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;PDL physique;19;1;2.49385;48.932361;48.932361, 2.49385
La Poste - Site de Nemours;77156;77;8 quai des tanneurs;77140;NEMOURS;13;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;24;0;2.699;48.2663;48.2663, 2.699
Décathlon - Coignières;78168;78;Zone commerciale Le Forum - Rue des frères Lumière;78310;COIGNIERES;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;34;4;1.93511;48.75781;48.75781, 1.93511
La Poste - Site de Romainville;93063;93;31 rue de la Republique;93230;ROMAINVILLE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;416;16;2.4398;48.8821;48.8821, 2.4398
La Poste - Site de Villeneuve Saint Georges;94078;94;11 rue Henri Leduc;94190;VILLENEUVE ST GEORGES;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;93;11;2.447828;48.731627;48.731627, 2.447828
LONGJUMEAU;91136;91;9 RUE DE L HOTEL DES POSTES;91160;LONGJUMEAU;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;96;4;2.295199;48.693359;48.693359, 2.295199
Bureau de Poste - Poissy l'Octroi;78498;78;133 RUE DU GENERAL DE GAULLE;78300;POISSY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;62;5;2.045396;48.927755;48.927755, 2.045396
Décathlon - Sainte Genevieve;91685;91;Zone Industrielle De La Croix Blanche;91700;VILLIERS SUR ORGE;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;25;3;2.34655;48.62499;48.62499, 2.34655
DAMMARTIN EN GOELE;77153;77;2 AVENUE DU MARECHAL LECLERC;77230;DAMMARTIN EN GOELE;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;4;0;2.685839;49.053509;49.053509, 2.685839
Bureau de Poste - Paris Soult;75112;75;137 BOULEVARD SOULT;75012;PARIS 12;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;250;0;2.410564;48.846168;48.846168, 2.410564
JUPPITER, Vélo & Thé gourmand;95219;95;3 bis Rue Saint-Flaive Prolongée;95120;ERMONT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;10;0;2.260717;48.99022868;48.99022868, 2.260717
La Poste - Site de Courtaboeuf;91275;91;8 avenue de l'Atlantique;91940;LES ULIS;13;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;16;1;2.199044;48.681222;48.681222, 2.199044
La Poste - Site de St Ouen l'Aumone Méry;95572;95;21 Avenue des Gros Chevaux;95310;SAINT OUEN L'AUMONE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;46;2;2.143723;49.050913;49.050913, 2.143723
La Poste - Site du Perray en Yvelines;78030;78;ZAC du Chemin Vert 7 Allée Haphleries;78610;LE PERRAY EN YVELINES;15;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;8;0;1.855052;48.703367;48.703367, 1.855052
Décathlon - Groslay Sarcelles;95288;95;46 Avenue de la République;95410;GROSLAY;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;113;6;2.35963;48.98504;48.98504, 2.35963
Mairie Fontenay Tresigny;77192;77;10 bis Avenue de Verdun;77610;FONTENAY TRESIGNY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;13;0;2.8776959;48.7050233;48.7050233, 2.8776959
M2IE;77258;77;Parc du Courcerin - ZAC PARIS EST - 73/75 Boulevard Courcerin - BAT B7;77185;LOGNES;30;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;30;3;2.618800402;48.82535553;48.82535553, 2.618800402
Franprix Rue Des Vallées;92025;92;17 rue des Vallées;92700;Colombes;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;165;0;2.257732153;48.91509628;48.91509628, 2.257732153
FLEETER;92012;92;11 Avenue Ferdinand Buisson;92100;BOULOGNE BILLANCOURT;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;323;13;2.254340285;48.8358546;48.8358546, 2.254340285
FRANPRIX LOURMEL PARIS 15;75115;75;32 rue de Lourmel;75015;PARIS 15;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;433;0;2.29045584;48.84885304;48.84885304, 2.29045584
Bureau de Poste - Paris Trocadéro;75116;75;51 RUE DE LONGCHAMP;75116;PARIS 16;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;224;4;2.287224;48.865088;48.865088, 2.287224
SoliCycle Les Ulis;91275;91;9 Résidences Chanteraine;91940;LES ULIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;51;2;2.177393;48.68308;48.68308, 2.177393
Repair and Run Paris Etoile;75117;75;1 rue de l'arc de Triomphe;75017;PARIS 17;15;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;198;0;2.294133323;48.87641441;48.87641441, 2.294133323
La Poste Nanterre Rueil;;92;95 Boulevard de la Seine;92012;Nanterre;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;135;0;2.194341805;48.90366371;48.90366371, 2.194341805
La Poste - Site de St Maur;94068;94;46 avenue Foch;94100;ST MAUR DES FOSSES;7;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;412;18;2.491293;48.802526;48.802526, 2.491293
Décathlon - Meaux;77143;77;5 Avenue Roland Moreno;77124;CHAUCONIN-NEUFMONTIERS;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;17;1;2.86284;48.95895;48.95895, 2.86284
Bureau de Poste - Bry-sur-Marne;94015;94;12 BOULEVARD DU GENERAL GALLIENI;94360;BRY SUR MARNE;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;42;0;2.522301;48.841093;48.841093, 2.522301
La Poste - Site d'Ermont;95219;95;Rue du Centre Berlioz Technique;95120;ERMONT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;144;3;2.244469;48.991616;48.991616, 2.244469
La Poste - Site d'Etampes;91109;91;9 rue du Peray;91150;ETAMPES;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;37;2;2.1692;48.4334;48.4334, 2.1692
FRANPRIX LISER PAVILLON SOUS BOIS;93057;93;7 ALLEE ROBILLARD;93320;PAVILLON SOUS BOIS;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;222;0;2.505624597;48.90490253;48.90490253, 2.505624597
VELEOS;78498;78;20 avenue du Cep;78300;POISSY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;105;0;2.040953855;48.92921981;48.92921981, 2.040953855
