Nom du site;Code_insee;Departement;Adresse;Code_postal;Commune;Capacité maximum;Compétence location;Compétence information;Retrait pour vélo à assistance électrique;Retrait pour vélo à assistance électrique rallongé;Retrait pour biporteur à assistance électrique;Retrait pour triporteur à assistance électrique;Restitution pour vélo à assistance électrique;Restitution pour vélo à assistance électrique rallongé;Restitution pour biporteur à assistance électrique;Restitution pour triporteur à assistance électrique;Type de site;Nombre  remise;Nombre reprise;x_long;y_lat;Geo Point
Recyclerie Sportive - Gare Massy Palaiseau;91377;91;Gare de Massy Palaiseau, Place Pierre Semard;91300;MASSY;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;186;23;2.261952;48.72567;48.72567, 2.261952
FRANPRIX RUNGIS;94065;94;1 rue Traversière;94150;RUNGIS;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;29;0;2.35268143;48.74637116;48.74637116, 2.35268143
Bureau de Poste - Gagny Principal;93032;93;8 PLACE DU GENERAL DE GAULLE;93220;GAGNY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;149;1;2.535085;48.884685;48.884685, 2.535085
Repair and run Paris Gare De Lyon;75112;75;Place Henri Frenay;75012;PARIS 12;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;48;0;2.376550748;48.84492858;48.84492858, 2.376550748
Franprix SOGEMS;92040;92;54 rue Erevan;92130;ISSY LES MOULINEAUX;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;137;0;2.261351347;48.81899643;48.81899643, 2.261351347
La Poste - Site de Pavillons sous Bois;93005;93;3 rue Charles Gouppy;93600;AULNAY SOUS BOIS;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;50;1;2.328514;48.953739;48.953739, 2.328514
La Poste - Site de Neuilly Plaisance;93049;93;6 Rue Marcel DASSAULT;93360;NEUILLY PLAISANCE;9;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;164;9;2.516656;48.865509;48.865509, 2.516656
Bureau de Poste - Montfermeil;93047;93;3 AVENUE DES PECHES;93370;MONTFERMEIL;0;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;4;0;2.560613;48.899134;48.899134, 2.560613
La Poste Maisons Laffitte;78396;78;16 RUE JEAN MERMOZ;78600;MAISONS LAFFITTE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;85;3;2.144485;48.946423;48.946423, 2.144485
FRANPRIX FL-DISTRIBUTION;75114;75;171 rue d'alésia;75014;PARIS 14;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;113;0;2.317328727;48.8328229;48.8328229, 2.317328727
La Poste - Site de Magny en Vexin;95166;95;23 Rue Gutenberg;95420;MAGNY EN VEXIN;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;3;0;1.782069;49.147928;49.147928, 1.782069
MEUDON LA FORET;92048;92;1 RUE DE LA POSTE;92360;MEUDON LA FORET;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;88;7;2.228556;48.786931;48.786931, 2.228556
Bureau de Poste - Bonneuil-sur-Marne;94011;94;11 RUE D ESTIENNE D ORVES;94380;BONNEUIL SUR MARNE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;101;10;2.48778;48.774572;48.774572, 2.48778
Franprix Rue des Petites Ecuries;75110;75;7/9 Rue des Petites Ecuries;75010;PARIS 10;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;306;0;2.352834463;48.87332153;48.87332153, 2.352834463
La Poste - Site d'Antony;92002;92;32 Rue Auguste Mounie;92160;ANTONY;30;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;1026;68;2.302593;48.754497;48.754497, 2.302593
FRANPRIX DIDEROT PARIS12;75112;75;142 BOULEVARD DIDEROT;75012;PARIS 12;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;220;0;2.389043331;48.8476181;48.8476181, 2.389043331
La Poste - Site de Chaumes en Brie;77007;77;5 chemin des cantines;77390;CHAUMES EN BRIE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;14;1;2.819805;48.649618;48.649618, 2.819805
La Poste - Site d'Ecuelles;77316;77;rue simone michel levy;77250;MORET LOING ET ORVANNE;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;31;2;2.830985;48.369802;48.369802, 2.830985
Décathlon - Chambourcy;78133;78;80 Route de Mantes;78240;CHAMBOURCY;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;112;16;2.03399;48.91098;48.91098, 2.03399
ZERIDE SEBASTOPOL;75102;75;111 boulevard sebastopol;75002;PARIS 02;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;201;0;2.352714498;48.86715314;48.86715314, 2.352714498
Association Avissahel;93070;93;8 rue Moutier;93400;ST OUEN;8;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;29;0;2.331656;48.918301;48.918301, 2.331656
La Poste MONTMARTRE;75118;75;19 RUE DUC;75018;PARIS 18;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;948;21;2.341885;48.892331;48.892331, 2.341885
Décathlon - Bry sur Marne;94015;94;19 Bis, Rue Jean Monnet Centre Commercial Les Armoiries;94360;BRY SUR MARNE;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;236;19;2.53065;48.82933;48.82933, 2.53065
RIS ORANGIS;91521;91;PLACE DU MOULIN A VENT;91130;RIS ORANGIS;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;53;3;2.407771;48.649298;48.649298, 2.407771
La Poste - Site de Dammartin en Goële;77153;77;4 rue Clement Ader;77230;DAMMARTIN EN GOELE;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;4;0;2.701861;49.062453;49.062453, 2.701861
Villetaneuse bp;93079;93;7 RUE DU 19 MARS 1962;93430;VILLETANEUSE;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;145;3;2.343376;48.962259;48.962259, 2.343376
La Poste - Site de Creteil;94028;94;50 avenue de la France libre;94000;CRETEIL;6;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;215;13;2.4549;48.7779;48.7779, 2.4549
Repair and Run Paris gare de l’est;75110;75;89 rue du faubourg st Martin;75010;PARIS 10;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;512;0;2.35768574;48.87311681;48.87311681, 2.35768574
Décathlon - Thiais;94073;94;3 Rue de la Résistance;94320;THIAIS;2;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;126;7;2.38794;48.75952;48.75952, 2.38794
La Poste - Site de La Norville;91021;91;3 route de Marolles;91290;LA NORVILLE;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;46;1;2.260146;48.576898;48.576898, 2.260146
La Poste - Site de Groslay;95288;95;13 Rue des Ecricrolles;95410;GROSLAY;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;21;0;2.358481;48.987985;48.987985, 2.358481
La Poste REUILLY;75112;75;32 RUE ERARD;75012;PARIS 12;20;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;338;0;2.3868;48.846635;48.846635, 2.3868
La Poste - Site de Velizy;78640;78;8/10 Rue des Frêres Caudron;78140;VELIZY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;22;0;2.214052;48.781035;48.781035, 2.214052
FRANPRIX RUE DE MONTREUIL PARIS11;75111;75;63 RUE DE MONTREUIL;75011;PARIS 11;7;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;469;0;2.389425755;48.85044861;48.85044861, 2.389425755
Franprix MINIMARCHE FOSSES;95580;95;1 Place du 19 Mars 1962;95470;FOSSES;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;3;0;2.515632629;49.09876251;49.09876251, 2.515632629
La Poste - Site de Mennecy;91244;91;65 boulevard Charles de Gaulle;91540;MENNECY;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;31;0;2.4308;48.5627;48.5627, 2.4308
FRANPRIX CLICHY;92024;92;13 RUE D'ESTIENNES D'ORVES;92110;Clichy;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;403;0;2.303031921;48.90613937;48.90613937, 2.303031921
VELOGIK;94041;94;128B AV. JEAN JAURES, CAPSTONE, BAT N5;94200;IVRY SUR SEINE;9;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;PDL physique;151;0;2.403403691;48.80528974;48.80528974, 2.403403691
Bureau de Poste - Le-Mesnil-Saint-Denis;78334;78;2 AVENUE HABERT DE MONTMORT;78320;LE MESNIL ST DENIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;33;0;1.961718;48.742738;48.742738, 1.961718
La Poste - Site de Claye Souilly;77118;77;9 rue Victor Baltard;77410;CLAYE SOUILLY;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;12;1;2.6735;48.9462;48.9462, 2.6735
Parking Group Indigo (Transdev Park) -  Paris Kléber Trocadéro;75116;75;65 avenue Kléber;75016;PARIS 16;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;180;7;2.289736;48.866109;48.866109, 2.289736
La Poste - Site de Mere Montfort;78289;78;3 Rue François Dezort;78490;MERE;5;;;;;;;;;;;;40;4;1.8186;48.8051;48.8051, 1.8186
Franprix Rue Maubeuge;75109;75;60 rue de Maubeuge;75009;PARIS 09;8;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;696;0;2.347296;48.87900925;48.87900925, 2.347296
La Poste - Site de Morangis;91432;91;39 avenue Marcel Telotte;91420;MORANGIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;90;2;2.330221;48.704532;48.704532, 2.330221
Bureau de Poste - Rambouillet;78164;78;1 PLACE ANDRE THOME;78120;RAMBOUILLET;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;18;1;1.824075;48.647089;48.647089, 1.824075
La Poste ROCHECHOUART CARRE PRO;75109;75;5 Rue CHORON;75009;PARIS 09;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;301;7;2.341506;48.877387;48.877387, 2.341506
Décathlon - Herblay;95306;95;12 Mail des Copistes;95220;HERBLAY;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;118;4;2.18764;48.99997;48.99997, 2.18764
Décathlon - Croissy Beaubourg;77146;77;25 Allée du 1er Mai;77183;CROISSY-BEAUBOURG;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;86;4;2.63774;48.82885;48.82885, 2.63774
Local Gare Aulnay-sous-bois;93005;93;3 rue du 11 novembre, au parking à vélo;93600;AULNAY-SOUS-BOIS;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;253;15;2.49385;48.932361;48.932361, 2.49385
La Poste - Site d'Argenteuil;95018;95;Place François Rabelais;95100;ARGENTEUIL;10;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;441;11;2.234418;48.946596;48.946596, 2.234418
